City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Cape Town,ZA,88.21,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
2,Dwarka,IN,86.7,few clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
8,Lingao,CN,80.87,overcast clouds,19.9103,109.6859,Lingao Ditai Inn
11,Hermanus,ZA,87.8,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
16,Lata,PT,81.48,scattered clouds,40.1629,-8.3327,Casa Maquia
17,Cockburn Town,TC,80.35,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
30,Gilgit,PK,83.3,scattered clouds,35.9221,74.3087,Tourist Hamlet Gilgit
36,Georgetown,MY,83.95,few clouds,5.4112,100.3354,Cititel Penang
43,Mahajanga,MG,91.42,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
53,Hithadhoo,MV,83.55,overcast clouds,-0.6,73.0833,Scoop Guest House
58,Bredasdorp,ZA,82.51,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
60,Anloga,GH,84.13,overcast clouds,5.7947,0.8973,Pin Drop Hotel
67,Kuching,MY,82.62,few clouds,1.55,110.3333,Hilton Kuching
76,Constantine,DZ,87.21,scattered clouds,36.365,6.6147,Grand Hotel Cirta
78,Wanxian,CN,82.81,broken clouds,30.8039,108.3897,7Days Inn Chongqing Shiqiaopu
93,Port-Gentil,GA,82.36,few clouds,-0.7193,8.7815,Fengshui Residence
103,Frontera,MX,82.33,clear sky,26.9333,-101.45,Fiesta Inn Monclova
109,Batticaloa,LK,85.08,overcast clouds,7.7102,81.6924,Grand Star Guest House
116,Manaure,CO,83.95,few clouds,11.7751,-72.4445,Hotel Palaaima
117,Bandarbeyla,SO,93.0,overcast clouds,9.4942,50.8122,JABIR HOTEL
125,Porbandar,IN,86.58,clear sky,21.6422,69.6093,Lords Inn Porbandar
130,Butaritari,KI,81.59,light rain,3.0707,172.7902,Isles Sunset Lodge
132,Kalmunai,LK,84.65,overcast clouds,7.4167,81.8167,VS Villa
135,Palauig,PH,83.14,overcast clouds,15.435,119.9045,Alperi Botique Resort
162,Touros,BR,83.62,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
163,Namibe,AO,84.38,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
167,Mbandaka,CD,84.54,overcast clouds,0.0487,18.2603,Guest House Epervier
174,Cozumel,MX,80.94,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
187,Nanga Eboko,CM,90.27,scattered clouds,4.6833,12.3667,Motel Papi Palace
189,Luderitz,,80.22,clear sky,-26.6481,15.1594,LÜDERITZ NEST HOTEL
191,Benin,BJ,94.41,overcast clouds,9.5,2.25,
