City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Castro,BR,-24.7911,-50.0119,60.39,91,99,3.06,moderate rain
1,Cape Town,ZA,-33.9258,18.4232,88.21,26,0,13.8,clear sky
2,Dwarka,IN,22.2394,68.9678,86.7,76,15,16.53,few clouds
3,Nuuk,GL,64.1835,-51.7216,45.21,57,0,3.44,clear sky
4,Rio Gallegos,AR,-51.6226,-69.2181,37.45,60,0,11.5,clear sky
5,Vardo,NO,70.3705,31.1107,44.58,76,75,9.22,broken clouds
6,Hilo,US,19.7297,-155.09,75.27,86,40,6.91,scattered clouds
7,Makakilo City,US,21.3469,-158.0858,74.68,72,0,8.05,clear sky
8,Lingao,CN,19.9103,109.6859,80.87,86,100,3.74,overcast clouds
9,Albany,US,42.6001,-73.9662,68.43,54,95,6.67,overcast clouds
10,Hirara,JP,24.8,125.2833,77.9,75,100,12.17,light rain
11,Hermanus,ZA,-34.4187,19.2345,87.8,36,0,3.8,clear sky
12,Kapaa,US,22.0752,-159.319,73.11,94,75,13.8,broken clouds
13,Iqaluit,CA,63.7506,-68.5145,42.53,75,20,16.11,few clouds
14,Binzhou,CN,37.3667,118.0167,69.22,41,0,13.94,clear sky
15,Xuanhua,CN,40.6103,115.0447,64.26,73,61,10.18,broken clouds
16,Lata,PT,40.1629,-8.3327,81.48,43,37,10.78,scattered clouds
17,Cockburn Town,TC,21.4612,-71.1419,80.35,86,100,17.69,overcast clouds
18,Kirakira,SB,-10.4544,161.9205,79.84,83,58,10.63,broken clouds
19,Krechevitsy,RU,58.617,31.401,69.37,28,9,3.33,clear sky
20,Vanimo,PG,-2.6741,141.3028,78.75,82,100,3.8,light rain
21,Narsaq,GL,60.9167,-46.05,52.02,71,95,4.54,overcast clouds
22,Kawalu,ID,-7.3817,108.2082,74.07,94,85,2.86,overcast clouds
23,Punta Arenas,CL,-53.15,-70.9167,37.51,70,75,13.8,broken clouds
24,Bereda,ES,43.2686,-7.5406,72.57,44,95,5.46,overcast clouds
25,Airai,TL,-8.9266,125.4092,59.83,90,27,2.86,scattered clouds
26,Xai-Xai,MZ,-25.0519,33.6442,72.37,56,4,7.52,clear sky
27,Bani Walid,LY,31.7566,13.9942,105.53,9,3,11.99,clear sky
28,Fort Saint James,CA,54.4333,-124.25,41.41,85,5,2.42,clear sky
29,Lichuan,CN,30.3,108.85,65.23,76,79,2.62,broken clouds
30,Gilgit,PK,35.9221,74.3087,83.3,27,37,0.89,scattered clouds
31,Atuona,PF,-9.8,-139.0333,77.74,70,6,14.85,clear sky
32,Yar-Sale,RU,66.8333,70.8333,67.71,27,25,13.8,scattered clouds
33,Ahipara,NZ,-35.1667,173.1667,60.42,95,81,6.93,broken clouds
34,Rio Grande,BR,-32.035,-52.0986,55.51,88,25,6.78,scattered clouds
35,Omsukchan,RU,62.5333,155.8,41.09,50,43,6.6,scattered clouds
36,Georgetown,MY,5.4112,100.3354,83.95,77,20,6.91,few clouds
37,Thohoyandou,ZA,-22.9456,30.485,70.36,28,0,5.86,clear sky
38,Robertsport,LR,6.7533,-11.3686,78.85,81,100,8.25,overcast clouds
39,Atikokan,CA,48.7555,-91.6216,52.41,67,74,2.26,broken clouds
40,Hobart,AU,-42.8794,147.3294,41.05,89,75,17.27,light intensity shower rain
41,Berezovyy,RU,51.6667,135.7,58.59,93,91,4.74,overcast clouds
42,Lerwick,GB,60.1545,-1.1494,53.6,71,58,17.63,broken clouds
43,Mahajanga,MG,-15.7167,46.3167,91.42,35,20,11.5,few clouds
44,Angoche,MZ,-16.2325,39.9086,78.49,62,34,10.13,scattered clouds
45,Rikitea,PF,-23.1203,-134.9692,72.63,61,40,16.37,scattered clouds
46,Lakeside,US,30.13,-81.7682,79.99,95,75,5.75,mist
47,Chuy,UY,-33.6971,-53.4616,52.81,86,7,2.24,clear sky
48,Saint-Philippe,RE,-21.3585,55.7679,78.39,76,91,9.62,overcast clouds
49,Beloha,MG,-25.1667,45.05,70.45,66,88,14.23,overcast clouds
50,Puerto Ayora,EC,-0.7393,-90.3518,69.55,94,100,6.49,overcast clouds
51,Qaanaaq,GL,77.484,-69.3632,29.01,93,94,1.59,overcast clouds
52,Shimoda,JP,34.6667,138.95,60.1,91,94,13.06,overcast clouds
53,Hithadhoo,MV,-0.6,73.0833,83.55,66,91,2.59,overcast clouds
54,Saskylakh,RU,71.9167,114.0833,53.17,54,52,7.23,broken clouds
55,Jatai,BR,-17.8814,-51.7144,74.98,47,29,5.1,scattered clouds
56,Fairbanks,US,64.8378,-147.7164,55.36,60,0,11.5,clear sky
57,Yellowknife,CA,62.456,-114.3525,57.72,62,20,4.61,few clouds
58,Bredasdorp,ZA,-34.5322,20.0403,82.51,18,10,6.2,clear sky
59,Marsabit,KE,2.3284,37.9899,72.36,45,95,12.68,overcast clouds
