City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Susangerd,IR,2022-06-06 17:14:34,31.5608,48.1831,109.11,6,47,9.8
1,Avarua,CK,2022-06-06 17:14:34,-21.2078,-159.775,77.05,88,40,11.5
2,Busselton,AU,2022-06-06 17:09:43,-33.65,115.3333,51.04,74,0,12.26
3,Bubaque,GW,2022-06-06 17:14:35,11.2833,-15.8333,81.16,79,79,12.5
4,Mataura,NZ,2022-06-06 17:14:35,-46.1927,168.8643,48.47,88,92,4.41
5,Ushuaia,AR,2022-06-06 17:12:07,-54.8,-68.3,38.82,80,20,2.3
6,Atuona,PF,2022-06-06 17:14:35,-9.8,-139.0333,77.99,74,16,14.7
7,Zeerust,ZA,2022-06-06 17:14:03,-25.5369,26.0751,54.25,45,1,3.74
8,Tasiilaq,GL,2022-06-06 17:13:41,65.6145,-37.6368,41.16,66,98,5.12
9,Komsomolskiy,UZ,2022-06-06 17:14:36,40.4272,71.7189,81.32,26,26,4.61
10,Hongjiang,CN,2022-06-06 17:14:36,27.11,109.9956,73.76,94,95,0.94
11,Barrow,US,2022-06-06 17:13:44,71.2906,-156.7887,24.82,93,100,16.11
12,Santa Cruz,BO,2022-06-06 17:10:30,-17.8,-63.1667,85.46,62,40,13.8
13,Hithadhoo,MV,2022-06-06 17:14:37,-0.6,73.0833,83.61,71,96,4.16
14,Arrecife,ES,2022-06-06 17:14:37,28.963,-13.5477,75.18,57,20,20.71
15,Faya,SA,2022-06-06 17:14:37,18.3851,42.4509,70.32,26,2,0.85
16,Burnie,AU,2022-06-06 17:14:38,-41.0667,145.9167,44.02,82,98,12.26
17,Port Alfred,ZA,2022-06-06 17:12:25,-33.5906,26.891,64.18,51,2,3.53
18,Muros,ES,2022-06-06 17:14:38,42.7762,-9.0603,70.09,70,36,6.53
19,Vaini,TO,2022-06-06 17:12:29,-21.2,-175.2,74.28,70,49,17.52
20,Nome,US,2022-06-06 17:14:39,64.5011,-165.4064,64.47,42,100,0.0
21,Samarai,PG,2022-06-06 17:14:39,-10.6167,150.6667,80.78,76,82,7.54
22,Ambulu,ID,2022-06-06 17:14:40,-8.345,113.6058,76.21,91,20,3.11
23,Barabai,ID,2022-06-06 17:14:40,-2.5833,115.3833,73.2,97,27,1.1
24,Kapaa,US,2022-06-06 17:14:40,22.0752,-159.319,73.38,92,100,5.75
25,Sao Miguel Do Araguaia,BR,2022-06-06 17:14:40,-13.275,-50.1628,91.87,25,2,5.64
26,Miri,MY,2022-06-06 17:14:41,4.4148,114.0089,78.42,84,93,2.44
27,Marawi,PH,2022-06-06 17:10:52,7.9986,124.2928,69.21,90,80,3.62
28,Butaritari,KI,2022-06-06 17:14:41,3.0707,172.7902,81.48,76,43,14.29
29,Chokurdakh,RU,2022-06-06 17:14:42,70.6333,147.9167,35.06,71,14,12.91
30,Tres Arroyos,AR,2022-06-06 17:14:42,-38.3739,-60.2798,63.03,41,72,10.6
31,Victoria,HK,2022-06-06 17:12:23,22.2855,114.1577,84.38,88,100,8.01
32,Ponta Delgada,PT,2022-06-06 17:14:42,37.7333,-25.6667,66.92,94,75,13.8
33,Kropotkin,RU,2022-06-06 17:14:43,45.4375,40.5756,71.58,57,100,10.71
34,Boca Do Acre,BR,2022-06-06 17:14:43,-8.7522,-67.3978,91.02,46,100,2.84
35,Qaanaaq,GL,2022-06-06 17:14:43,77.484,-69.3632,33.66,63,52,1.61
36,Necochea,AR,2022-06-06 17:14:44,-38.5473,-58.7368,62.62,48,64,11.03
37,Hobart,AU,2022-06-06 17:13:07,-42.8794,147.3294,41.25,83,40,8.05
38,Saint George,US,2022-06-06 17:13:44,37.1041,-113.5841,91.63,19,0,4.61
39,Isangel,VU,2022-06-06 17:14:44,-19.55,169.2667,72.97,81,22,6.67
40,Rabo De Peixe,PT,2022-06-06 17:14:45,37.8,-25.5833,65.71,94,75,13.8
41,Clyde River,CA,2022-06-06 17:14:45,70.4692,-68.5914,42.06,63,30,6.29
42,Makakilo City,US,2022-06-06 17:12:33,21.3469,-158.0858,75.52,77,0,3.44
43,Fortuna,US,2022-06-06 17:14:45,40.5982,-124.1573,59.86,91,100,5.75
44,Cam Ranh,VN,2022-06-06 17:14:46,11.9214,109.1591,82.36,74,20,1.14
45,Hami,CN,2022-06-06 17:14:46,42.8,93.45,78.58,14,41,19.69
46,Leningradskiy,RU,2022-06-06 17:14:46,69.3833,178.4167,32.34,89,100,7.9
47,Jamestown,US,2022-06-06 17:13:29,42.097,-79.2353,80.53,40,0,13.0
48,Carnarvon,AU,2022-06-06 17:11:10,-24.8667,113.6333,70.63,50,0,4.23
49,Caravelas,BR,2022-06-06 17:15:48,-17.7125,-39.2481,76.93,53,74,4.85
50,Morehead,US,2022-06-06 17:15:48,37.2711,-87.1764,77.99,76,75,9.22
51,Sur,OM,2022-06-06 17:15:49,22.5667,59.5289,87.4,59,5,13.91
52,Shumskiy,RU,2022-06-06 17:15:49,54.8318,99.1328,44.31,71,100,7.36
53,Punta Arenas,CL,2022-06-06 17:15:49,-53.15,-70.9167,37.42,93,75,16.11
54,Kahului,US,2022-06-06 17:11:29,20.8947,-156.47,78.84,64,0,8.01
55,Cape Town,ZA,2022-06-06 17:13:35,-33.9258,18.4232,70.27,37,9,5.41
56,Yellowknife,CA,2022-06-06 17:13:30,62.456,-114.3525,66.56,37,95,8.01
57,Sungai Padi,TH,2022-06-06 17:15:50,6.0851,101.8766,76.78,96,90,1.81
58,Bijie,CN,2022-06-06 17:15:51,27.3125,105.2942,60.46,74,100,3.44
59,Kavaratti,IN,2022-06-06 17:15:51,10.5669,72.642,83.88,76,100,17.09
60,Husavik,IS,2022-06-06 17:11:01,66.0449,-17.3389,46.13,58,26,10.4
61,Bluff,NZ,2022-06-06 17:15:51,-46.6,168.3333,49.8,77,83,10.2
62,Ribeira Grande,PT,2022-06-06 17:15:52,38.5167,-28.7,66.6,94,75,12.66
63,Pevek,RU,2022-06-06 17:15:52,69.7008,170.3133,30.49,82,73,4.38
64,Veraval,IN,2022-06-06 17:15:52,20.9,70.3667,83.05,83,67,9.26
65,Talnakh,RU,2022-06-06 17:15:53,69.4865,88.3972,36.21,59,96,3.49
66,Bredasdorp,ZA,2022-06-06 17:12:21,-34.5322,20.0403,61.09,42,0,3.18
67,Yulara,AU,2022-06-06 17:15:53,-25.2406,130.9889,49.66,54,52,10.89
68,New Norfolk,AU,2022-06-06 17:15:53,-42.7826,147.0587,40.91,82,34,3.0
